teamTricode,city,state_province
NJN,East Rutherford,NJ
ATL,Atlanta,GA
BKN,Brooklyn,NY
BOS,Boston,MA
BOB,Charlotte,NC
CHA,Charlotte,NC
CHI,Chicago,IL
CLE,Cleveland,OH
DAL,Dallas,TX
DEN,Denver,CO
DET,Detroit,MI
GSW,San Francisco,CA
HOU,Houston,TX
IND,Indianapolis,IN
LAC,Los Angeles,CA
LAL,Los Angeles,CA
MEM,Memphis,TN
MIA,Miami,FL
MIL,Milwaukee,WI
MIN,Minneapolis,MN
NOH,New Orleans,LA
NOP,New Orleans,LA
NYK,New York,NW
OKC,Oklahoma City,OK
ORL,Orlando,FL
PHI,Philadelphia,PA
PHX,Phoenix,AZ
POR,Portland,OR
SAC,Sacramento,CA
SAS,San Antonio,TX
TOR,Toronto,ON
UTA,Salt Lake City,UT
WAS,Washington,DC
